Service Line Locality,Street Address,Zip Code,State,"Lead Gooseneck, Pigtail or Connector Currently Present",Current Public Side SL Material,Was Public SL Material Ever Previously Lead,Public SL Material Verification Method,Public SL Installation or Replacement Date,Public SL Size,Customer SL Material,Customer SL Material Verification Method,Lead Solder Present,Building Type,POU or POE Treatment Present,Customer SL Installation or Replacement Date,Customer SL Size,SL Category,Note,Location
Poughkeepsie,119 GROVE PL,12601,NY,,Unknown,Unknown,Not Verified,6/19/1980,Unknown,Copper,Not Verified,,,,,,Unknown,,POINT (-73.93586 41.69849)
Poughkeepsie,1607-9 DUDLEY AVE,12603,NY,,Unknown,Unknown,Not Verified,1/1/1950,"Upto 1""",Unknown,Not Verified,,,,,,Unknown,,POINT (-73.85831 41.65674)
Poukeepsie,5838 CAVANAUGH RD,12603,NY,,Copper,No,Not Verified,7/19/1988,"Upto 1""",Unknown,Not Verified,,,,,,Unknown,,
Poughkeepsie,5836 CAVANAUGH RD,12603,NY,,Copper,No,Not Verified,1/1/1949,Unknown,Unknown,Not Verified,,,,,,Unknown,,
Poughkeepsie,824  -826 MAIN STREET (APARTMENTS),12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89819 41.69582)
Poughkeepsie,109  EAST CEDAR STREET,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.91195 41.72229)
Poughkeepsie,53  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91207 41.719)
Poughkeepsie,13  EILEEN BOULEVARD,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85782 41.71029)
Poughkeepsie,214  WILBUR BLVD,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91671 41.66464)
Poughkeepsie,44  WILMAR TERRACE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91735 41.71855)
Poughkeepsie,61  WEST CEDAR ST (RECEIVING),12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92753 41.72005)
Poughkeepsie,36  DAVIS AVENUE,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.8977 41.69339)
Poughkeepsie,6  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85708 41.71306)
Poughkeepsie,37  LAKE STREET,12601,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92143 41.72214)
Poughkeepsie,9  EMMOTT PLACE,12601,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.9058 41.70503)
Poughkeepsie,89  FAIRVIEW AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9219 41.72014)
Poughkeepsie,22  HINKLEY PLACE,12601,NY,No,Copper,Yes,Records,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9173 41.7179)
Poughkeepsie,38  CATHY ROAD,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.92376 41.6755)
Poughkeepsie,23  HARMONY CIRCLE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.84827 41.71486)
Poughkeepsie,25  MC ALPINE DRIVE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93238 41.64694)
Poughkeepsie,797  -801 MAIN STREET (MEINEKE),12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.90045 41.69634)
Poughkeepsie,17  COLLEGEVIEW AVENUE,12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89883 41.69156)
Poughkeepsie,28  RAYMOND AVENUE (THAI),12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90121 41.69399)
Poughkeepsie,11  MOREHOUSE ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92251 41.6787)
Poughkeepsie,33  EILEEN BOULEVARD,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85957 41.7109)
Poughkeepsie,14  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90263 41.70496)
Poughkeepsie,47  SCHOOLHOUSE LANE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92473 41.65995)
Poughkeepsie,42  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91292 41.71832)
Poughkeepsie,36  HARMONY CIRCLE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.84762 41.71548)
Poughkeepsie,9  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.9046 41.696)
Poughkeepsie,39  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85568 41.72252)
Poughkeepsie,43  LAKE STREET,12601,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92085 41.72224)
Poughkeepsie,33  WOODLAWN AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91973 41.72259)
Poughkeepsie,34  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85545 41.71449)
Poughkeepsie,60  DAVIS AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89544 41.69289)
Poughkeepsie,8  MAGNOLIA LANE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.92914 41.65041)
Poughkeepsie,61  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85582 41.72531)
Poughkeepsie,67  WOODLAWN AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9199 41.72499)
Poughkeepsie,3  LAGRANGE AVENUE- BANK,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90015 41.6935)
Poughkeepsie,49  SHARON DRIVE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92338 41.67989)
Poughkeepsie,49  OAKDALE AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91597 41.71704)
Poughkeepsie,101  FULTON AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.90528 41.69245)
Poughkeepsie,514  HAIGHT AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89963 41.6948)
Poughkeepsie,2  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90369 41.70514)
Poughkeepsie,22  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85607 41.72022)
Poughkeepsie,28  LEWIS AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9037 41.69467)
Poughkeepsie,24  VIOLET AVENUE (RENTALS),12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91272 41.71711)
